# time, steer_desired, steer 
0.12800000000000009,0.1,0.07442231402731338
0.1290000000000001,0.1,0.0749382731276512
0.1300000000000001,0.1,0.07540263735998423
0.1310000000000001,0.1,0.07582056606795735
0.1320000000000001,0.1,0.0761967031327721
0.1330000000000001,0.1,0.07653522795754752
0.1340000000000001,0.1,0.07701083951850812
0.1350000000000001,0.1,0.07743889092874263
0.1360000000000001,0.1,0.07782413814281479
0.1370000000000001,0.1,0.0781708618668575
0.1380000000000001,0.1,0.07848291465606197
0.1390000000000001,0.1,0.07892178174639561
0.1400000000000001,0.1,0.07931676311642034
0.1410000000000001,0.1,0.07967224727359465
0.1420000000000001,0.1,0.07999218419674091
0.1430000000000001,0.1,0.08028012879360368
0.1440000000000001,0.1,0.08068515479437215
0.1450000000000001,0.1,0.08104967913703755
